log_file,exp_id,seed,n,config_name,reason
EXP-112_s5_n256_A16_only.log,EXP-112,5,256,A16_only,missing_KEY_AUDIT_JSON
EXP-112_s6_n256_A16_only.log,EXP-112,6,256,A16_only,missing_KEY_AUDIT_JSON
EXP-112_s7_n256_A16_only.log,EXP-112,7,256,A16_only,missing_KEY_AUDIT_JSON
EXP-112_s7_n256_fa_no_P3row.log,EXP-112,7,256,fa_no_P3row,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_A14_only.log,EXP-112,8,256,A14_only,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_A16_only.log,EXP-112,8,256,A16_only,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_A17_only.log,EXP-112,8,256,A17_only,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_baseline.log,EXP-112,8,256,baseline,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_fa_no_P1row.log,EXP-112,8,256,fa_no_P1row,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_fa_no_P3row.log,EXP-112,8,256,fa_no_P3row,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_loo_A13.log,EXP-112,8,256,loo_A13,missing_KEY_AUDIT_JSON
EXP-112_s8_n256_loo_A14.log,EXP-112,8,256,loo_A14,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_A14_only.log,EXP-112,9,256,A14_only,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_A16_only.log,EXP-112,9,256,A16_only,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_A17_only.log,EXP-112,9,256,A17_only,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_baseline.log,EXP-112,9,256,baseline,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_fa_no_P1row.log,EXP-112,9,256,fa_no_P1row,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_fa_no_P2mod.log,EXP-112,9,256,fa_no_P2mod,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_fa_no_P3row.log,EXP-112,9,256,fa_no_P3row,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_full_action.log,EXP-112,9,256,full_action,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_gen3_A13_A14_A19.log,EXP-112,9,256,gen3_A13_A14_A19,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_gen4_core.log,EXP-112,9,256,gen4_core,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_loo_A13.log,EXP-112,9,256,loo_A13,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_loo_A14.log,EXP-112,9,256,loo_A14,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_loo_A18.log,EXP-112,9,256,loo_A18,missing_KEY_AUDIT_JSON
EXP-112_s9_n256_loo_A19.log,EXP-112,9,256,loo_A19,missing_KEY_AUDIT_JSON
